PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; OBS    ;   92;     ;     ;   86;  147;    0;    0;    4;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   96;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00100  ;   94;     ;     ;   87;  145;  188;    2;    4;    5;     ;    4;    4;    4;    4;    4;    4;    4;    4;    0;    1;    3;    3;    4;   96;  211;    1;    4;     ;   23;   42;     ;    3;   12;   11;    4;   23;    0;    0;    6;   29;   23;    6;   42;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    7;    1;     ;     ;    0;    0;     ;     ;     ;     ;    0;     ;  133;     ;     ;   94;  140;  221;    9;     ;    8;     ;    0;    8;    0;   77;    4;   15;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00200  ;  102;     ;     ;   88;  142;  188;    3;    5;     ;     ;    4;    5;    5;    4;    5;    5;    4;    5;    0;    1;    3;    4;    5;   91;  229;    2;     ;     ;   36;     ;     ;    4;   16;   20;    6;   36;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    7;    1;     ;     ;    0;    0;     ;     ;     ;     ;    1;     ;  133;     ;     ;   96;  137;  222;   10;     ;     ;     ;     ;     ;     ;   78;     ;     ;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00300  ;  109;     ;     ;   94;  139;  184;    3;    6;     ;     ;    6;    5;    6;    6;    5;    6;    6;    6;    1;    1;    4;    5;    6;   90;  221;    2;     ;     ;   53;     ;     ;    5;   27;   25;   11;   53;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   13;    2;     ;     ;    1;    1;     ;     ;     ;     ;    0;     ;  131;     ;     ;   99;  135;  223;   10;     ;     ;     ;     ;     ;     ;   80;     ;     ;     ;    0;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00400  ;  115;  146;   84;  102;  138;  193;    4;    7;    7;    8;    5;    6;    7;    5;    6;    6;    5;    6;    2;    2;    4;    6;    6;   91;  232;    0;    3;    5;   65;   82;   82;    5;   40;   24;   20;   65;    0;    0;   14;   62;   69;   37;   82;    0;    0;   20;   68;   81;   38;   82;    0;    0;   28;   68;   81;   38;   82;    0;    0;    5;   82;   17;    2;   11;   31;    9;    9;   54;     ;    8;   18;    0;   31;  133;  147;  127;  100;  134;  227;   11;     ;     ;   27;     ;     ;     ;   80;   14;   18;   51;    1;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00500  ;  126;     ;     ;  103;  137;  214;    5;    9;     ;     ;    6;    6;    7;    6;    6;    7;    5;    7;    3;    3;    5;    6;    6;   86;  262;    0;     ;     ;   69;     ;     ;    8;   43;   27;   13;   69;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   19;    3;     ;     ;   14;   14;     ;     ;   28;   23;    0;     ;  141;     ;     ;   99;  133;  235;   11;     ;     ;     ;     ;     ;     ;   76;     ;     ;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00600  ;  137;     ;     ;  104;  135;  229;    6;   11;     ;     ;    6;    7;    8;    6;    7;    7;    6;    7;    4;    4;    5;    6;    7;   81;  293;    0;     ;     ;   75;     ;     ;    7;   46;   29;   13;   75;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   21;    4;     ;     ;   20;   20;     ;     ;   55;   28;    0;     ;  152;     ;     ;   97;  133;  246;   11;     ;     ;     ;     ;     ;     ;   70;     ;     ;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00700  ;  145;     ;     ;  105;  134;  239;    7;   13;   14;     ;    6;    7;    8;    6;    7;    7;    6;    7;    4;    4;    6;    6;    7;   77;  315;    0;    0;     ;   75;   85;     ;    6;   47;   28;   12;   75;    0;    0;   21;   75;   69;   22;   85;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   21;    5;     ;     ;   24;   24;     ;     ;   87;   34;    0;     ;  159;  150;  127;   96;  132;  255;   11;     ;   69;     ;   56;   62;    0;   66;   20;   34;     ;    2;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00800  ;  151;     ;     ;  106;  134;  248;    9;   15;     ;     ;    6;    7;    8;    6;    7;    7;    6;    7;    4;    4;    6;    6;    7;   74;  324;    0;     ;     ;   69;     ;     ;    6;   43;   26;   13;   69;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   18;    4;     ;     ;   24;   24;     ;     ;  110;   35;    0;     ;  162;     ;     ;   98;  131;  263;   12;     ;     ;     ;     ;     ;     ;   65;     ;     ;     ;    4;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 00900  ;  155;     ;     ;  106;  135;  255;   11;   17;     ;     ;    6;    6;    7;    6;    6;    7;    6;    6;    4;    4;    5;    5;    6;   73;  322;    0;     ;     ;   56;     ;     ;    5;   40;   16;    5;   56;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   12;    2;     ;     ;   22;   22;     ;     ;  128;   37;    0;     ;  162;     ;     ;  101;  130;  269;   13;     ;     ;     ;     ;     ;     ;   67;     ;     ;     ;    7;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 01000  ;  157;  159;   88;  105;  135;  258;   12;   18;   20;   20;    6;    6;    7;    6;    6;    6;    6;    6;    3;    3;    5;    4;    6;   72;  324;    0;    0;    0;   45;   81;   92;    4;   35;   10;    0;   45;    0;    0;   16;   71;   52;   18;   81;    0;    0;   37;   86;   80;   22;   92;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;    8;    1;   18;     ;   21;   21;     ;     ;  140;   39;    0;     ;  161;  164;  127;  103;  129;  272;   14;     ;     ;   74;     ;     ;     ;   68;    7;   27;     ;   10;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 01100  ;  156;     ;     ;  103;  133;  258;   12;   19;     ;     ;    6;    6;    6;    6;    6;    6;    6;    5;    3;    3;    4;    4;    6;   71;  330;    0;     ;     ;   38;     ;     ;    3;   29;    8;    0;   38;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    7;    0;     ;     ;   23;   23;     ;     ;  141;   40;    0;     ;  160;     ;     ;  102;  128;  270;   15;     ;     ;     ;     ;     ;     ;   68;     ;     ;     ;   12;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 01200  ;  153;     ;     ;  100;  131;  257;   12;   19;     ;     ;    6;    6;    6;    6;    6;    6;    5;    5;    3;    3;    4;    4;    6;   70;  339;    0;     ;     ;   32;     ;     ;    3;   22;   10;    0;   32;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    7;    0;     ;     ;   26;   26;     ;     ;  134;   41;    0;     ;  159;     ;     ;   99;  126;  266;   15;     ;     ;     ;     ;     ;     ;   68;     ;     ;     ;   13;    0;    0;
MSWRMOS ;mix  2015090218;062100  ;2015-09-03;02:00; 01300  ;  151;     ;     ;   97;  129;  255;   13;   19;   21;     ;    6;    6;    6;    5;    6;    6;    5;    5;    2;    3;    4;    4;    6;   70;  348;    0;    0;     ;   26;   44;     ;    3;   16;   10;    1;   26;    0;    0;    8;   35;   28;    1;   44;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    6;    1;     ;     ;   29;   29;     ;     ;  119;   42;    0;     ;  158;  163;  130;   97;  125;  262;   15;     ;   77;     ;   46;   66;   19;   67;    1;    8;     ;   15;    0;    0;
PROJECT ;MODEL          ;LOCATION;DATE      ;TIME ;LEADTIME;TTT  ;TX   ;TN   ;Td   ;PPPP ;DD   ;FF   ;FX1  ;FX3  ;FX6  ;mN   ;sN   ;N    ;mNeff;sNeff;Neff ;mNlm ;Nlm  ;Nh   ;Nm   ;mNl  ;Nl   ;N230 ;RH   ;VV   ;wwM  ;wwM3 ;wwM6 ;wwP  ;wwP3 ;wwP6 ;wwZ  ;wwD  ;wwC  ;wwT  ;wwL  ;wwS  ;wwF  ;wwZ3 ;wwD3 ;wwC3 ;wwT3 ;wwL3 ;wwF3 ;wwS3 ;wwZ6 ;wwD6 ;wwC6 ;wwT6 ;wwL6 ;wwF6 ;wwS6 ;wwZh ;wwDh ;wwCh ;wwTh ;wwLh ;wwFh ;wwSh ;wwMh ;wwPh ;DRR1 ;RR1  ;RR6  ;RRd  ;SunD1;jSun1;RSunD;RN2Sd;Rad1h;RRad1;PVV10;RRh  ;D_T2m;D_XT ;D_NT ;D_Td ;DPPPP;DDD10;DFF10;D_N  ;D_CT3;D_CT6;CH   ;CM   ;CL   ;D_RH ;SR3T ;SR6T ;TG   ;PX125;PX140;PX155;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; OBS    ;     ;     ;     ;     ;     ;  250;   12;   14;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    1;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00100  ;  121;     ;     ;   84;  139;  240;   12;   14;   15;     ;    4;    4;    4;    4;    4;    4;    4;    4;    0;    1;    3;    3;    4;   78;  311;    0;    0;     ;   25;   42;     ;    2;   14;   11;    2;   25;    0;    0;    5;   27;   31;    6;   42;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;   10;    1;     ;     ;    0;    0;     ;     ;     ;     ;    0;     ;  134;     ;     ;   95;  137;  225;   10;     ;   16;     ;    0;   16;    0;   77;   10;   15;     ;    3;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00200  ;  124;     ;     ;   88;  135;  232;   12;   14;     ;     ;    5;    4;    4;    5;    4;    4;    4;    4;    0;    1;    4;    4;    4;   79;  283;    1;     ;     ;   31;     ;     ;    3;   14;   17;    1;   31;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    9;    1;     ;     ;    0;    0;     ;     ;     ;     ;    0;     ;  134;     ;     ;   96;  134;  225;   11;     ;     ;     ;     ;     ;     ;   78;     ;     ;     ;    3;    0;    0;
MSWRMOS ;mix  2015090218;062250  ;2015-09-03;02:00; 00300  ;  122;     ;     ;   91;  134;  219;   11;   15;     ;     ;    5;    5;    5;    5;    5;    5;    5;    5;    1;    1;    4;    5;    5;   81;  257;    0;     ;     ;   39;     ;     ;    3;   21;   18;    7;   39;    0;    0;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;    9;    1;     ;     ;    2;    2;     ;     ;     ;     ;    0;     ;  132;     ;     ;   98;  131;  224;   11;     ;     ;     ;     ;     ;     ;   79;     ;     ;     ;    4;    0;    0;
